,alpha,beta,gamma,avg_score
77,0.05,0.001,,0.6533018867924528
78,0.05,0.005,,0.6438679245283019
79,0.05,0.01,,0.6438679245283019
80,0.05,0.05,,0.45754716981132076
81,0.05,1.0,,0.45754716981132076
82,0.05,5.0,,0.45754716981132076
83,0.05,10.0,,0.45754716981132076
84,0.05,50.0,,0.45754716981132076
85,0.05,100.0,,0.45754716981132076
86,0.05,500.0,,0.45754716981132076
87,0.05,1000.0,,0.45754716981132076
88,0.05,5000.0,,0.45754716981132076
89,0.05,10000.0,,0.45754716981132076
90,1.0,0.0001,,0.6226415094339622
91,1.0,0.0005,,0.625
92,1.0,0.001,,0.6297169811320755
93,1.0,0.005,,0.6438679245283019
94,1.0,0.01,,0.6533018867924528
95,1.0,0.05,,0.45754716981132076
96,1.0,1.0,,0.45754716981132076
97,1.0,5.0,,0.45754716981132076
98,1.0,10.0,,0.45754716981132076
99,1.0,50.0,,0.45754716981132076
100,1.0,100.0,,0.45754716981132076
101,1.0,500.0,,0.45754716981132076
102,1.0,1000.0,,0.45754716981132076
103,1.0,5000.0,,0.45754716981132076
104,1.0,10000.0,,0.45754716981132076
105,5.0,0.0001,,0.6273584905660378
106,5.0,0.0005,,0.6297169811320755
107,5.0,0.001,,0.6297169811320755
108,5.0,0.005,,0.6367924528301887
109,5.0,0.01,,0.6344339622641509
110,5.0,0.05,,0.45754716981132076
111,5.0,1.0,,0.45754716981132076
112,5.0,5.0,,0.45754716981132076
113,5.0,10.0,,0.45754716981132076
114,5.0,50.0,,0.45754716981132076
115,5.0,100.0,,0.45754716981132076
116,5.0,500.0,,0.45754716981132076
117,5.0,1000.0,,0.45754716981132076
118,5.0,5000.0,,0.45754716981132076
119,5.0,10000.0,,0.45754716981132076
120,10.0,0.0001,,0.6462264150943396
121,10.0,0.0005,,0.6462264150943396
122,10.0,0.001,,0.6462264150943396
123,10.0,0.005,,0.6462264150943396
124,10.0,0.01,,0.6438679245283019
125,10.0,0.05,,0.45754716981132076
126,10.0,1.0,,0.45754716981132076
127,10.0,5.0,,0.45754716981132076
128,10.0,10.0,,0.45754716981132076
129,10.0,50.0,,0.45754716981132076
130,10.0,100.0,,0.45754716981132076
131,10.0,500.0,,0.45754716981132076
132,10.0,1000.0,,0.45754716981132076
133,10.0,5000.0,,0.45754716981132076
134,10.0,10000.0,,0.45754716981132076
135,50.0,0.0001,,0.6556603773584906
136,50.0,0.0005,,0.6556603773584906
137,50.0,0.001,,0.6533018867924528
138,50.0,0.005,,0.6533018867924528
139,50.0,0.01,,0.6509433962264151
140,50.0,0.05,,0.45754716981132076
141,50.0,1.0,,0.45754716981132076
142,50.0,5.0,,0.45754716981132076
143,50.0,10.0,,0.45754716981132076
144,50.0,50.0,,0.45754716981132076
145,50.0,100.0,,0.45754716981132076
146,50.0,500.0,,0.45754716981132076
147,50.0,1000.0,,0.45754716981132076
148,50.0,5000.0,,0.45754716981132076
149,50.0,10000.0,,0.45754716981132076
150,100.0,0.0001,,0.6674528301886793
151,100.0,0.0005,,0.6674528301886793
152,100.0,0.001,,0.6674528301886793
153,100.0,0.005,,0.6674528301886793
154,100.0,0.01,,0.6674528301886793
155,100.0,0.05,,0.45754716981132076
156,100.0,1.0,,0.45754716981132076
157,100.0,5.0,,0.45754716981132076
158,100.0,10.0,,0.45754716981132076
159,100.0,50.0,,0.45754716981132076
160,100.0,100.0,,0.45754716981132076
161,100.0,500.0,,0.45754716981132076
162,100.0,1000.0,,0.45754716981132076
163,100.0,5000.0,,0.45754716981132076
164,100.0,10000.0,,0.45754716981132076
165,500.0,0.0001,,0.6674528301886793
166,500.0,0.0005,,0.6674528301886793
167,500.0,0.001,,0.6674528301886793
168,500.0,0.005,,0.6674528301886793
169,500.0,0.01,,0.6674528301886793
170,500.0,0.05,,0.45754716981132076
171,500.0,1.0,,0.45754716981132076
172,500.0,5.0,,0.45754716981132076
173,500.0,10.0,,0.45754716981132076
174,500.0,50.0,,0.45754716981132076
175,500.0,100.0,,0.45754716981132076
176,500.0,500.0,,0.45754716981132076
177,500.0,1000.0,,0.45754716981132076
178,500.0,5000.0,,0.45754716981132076
179,500.0,10000.0,,0.45754716981132076
180,1000.0,0.0001,,0.6674528301886793
181,1000.0,0.0005,,0.6674528301886793
182,1000.0,0.001,,0.6674528301886793
183,1000.0,0.005,,0.6674528301886793
184,1000.0,0.01,,0.6674528301886793
185,1000.0,0.05,,0.45754716981132076
186,1000.0,1.0,,0.45754716981132076
187,1000.0,5.0,,0.45754716981132076
188,1000.0,10.0,,0.45754716981132076
189,1000.0,50.0,,0.45754716981132076
190,1000.0,100.0,,0.45754716981132076
191,1000.0,500.0,,0.45754716981132076
192,1000.0,1000.0,,0.45754716981132076
193,1000.0,5000.0,,0.45754716981132076
194,1000.0,10000.0,,0.45754716981132076
195,5000.0,0.0001,,0.6674528301886793
196,5000.0,0.0005,,0.6674528301886793
197,5000.0,0.001,,0.6674528301886793
198,5000.0,0.005,,0.6674528301886793
199,5000.0,0.01,,0.6674528301886793
200,5000.0,0.05,,0.45754716981132076
201,5000.0,1.0,,0.45754716981132076
202,5000.0,5.0,,0.45754716981132076
203,5000.0,10.0,,0.45754716981132076
204,5000.0,50.0,,0.45754716981132076
205,5000.0,100.0,,0.45754716981132076
206,5000.0,500.0,,0.45754716981132076
207,5000.0,1000.0,,0.45754716981132076
208,5000.0,5000.0,,0.45754716981132076
209,5000.0,10000.0,,0.45754716981132076
210,10000.0,0.0001,,0.6674528301886793
211,10000.0,0.0005,,0.6674528301886793
212,10000.0,0.001,,0.6674528301886793
213,10000.0,0.005,,0.6674528301886793
214,10000.0,0.01,,0.6674528301886793
215,10000.0,0.05,,0.45754716981132076
216,10000.0,1.0,,0.45754716981132076
217,10000.0,5.0,,0.45754716981132076
218,10000.0,10.0,,0.45754716981132076
219,10000.0,50.0,,0.45754716981132076
220,10000.0,100.0,,0.45754716981132076
221,10000.0,500.0,,0.45754716981132076
222,10000.0,1000.0,,0.45754716981132076
223,10000.0,5000.0,,0.45754716981132076
224,10000.0,10000.0,,0.45754716981132076
