,alpha,beta,gamma,avg_score
66,0.01,1.0,,0.4339622641509434
67,0.01,5.0,,0.4339622641509434
68,0.01,10.0,,0.4339622641509434
69,0.01,50.0,,0.4339622641509434
70,0.01,100.0,,0.4339622641509434
71,0.01,500.0,,0.4339622641509434
72,0.01,1000.0,,0.4339622641509434
73,0.01,5000.0,,0.4339622641509434
74,0.01,10000.0,,0.4339622641509434
75,0.05,0.0001,,0.6627358490566038
76,0.05,0.0005,,0.6580188679245284
77,0.05,0.001,,0.6580188679245284
78,0.05,0.005,,0.6320754716981132
79,0.05,0.01,,0.6273584905660378
80,0.05,0.05,,0.4339622641509434
81,0.05,1.0,,0.4339622641509434
82,0.05,5.0,,0.4339622641509434
83,0.05,10.0,,0.4339622641509434
84,0.05,50.0,,0.4339622641509434
85,0.05,100.0,,0.4339622641509434
86,0.05,500.0,,0.4339622641509434
87,0.05,1000.0,,0.4339622641509434
88,0.05,5000.0,,0.4339622641509434
89,0.05,10000.0,,0.4339622641509434
90,1.0,0.0001,,0.660377358490566
91,1.0,0.0005,,0.660377358490566
92,1.0,0.001,,0.660377358490566
93,1.0,0.005,,0.6556603773584906
94,1.0,0.01,,0.6580188679245284
95,1.0,0.05,,0.4339622641509434
96,1.0,1.0,,0.4339622641509434
97,1.0,5.0,,0.4339622641509434
98,1.0,10.0,,0.4339622641509434
99,1.0,50.0,,0.4339622641509434
100,1.0,100.0,,0.4339622641509434
101,1.0,500.0,,0.4339622641509434
102,1.0,1000.0,,0.4339622641509434
103,1.0,5000.0,,0.4339622641509434
104,1.0,10000.0,,0.4339622641509434
105,5.0,0.0001,,0.6627358490566038
106,5.0,0.0005,,0.6627358490566038
107,5.0,0.001,,0.660377358490566
108,5.0,0.005,,0.660377358490566
109,5.0,0.01,,0.6650943396226415
110,5.0,0.05,,0.4339622641509434
111,5.0,1.0,,0.4339622641509434
112,5.0,5.0,,0.4339622641509434
113,5.0,10.0,,0.4339622641509434
114,5.0,50.0,,0.4339622641509434
115,5.0,100.0,,0.4339622641509434
116,5.0,500.0,,0.4339622641509434
117,5.0,1000.0,,0.4339622641509434
118,5.0,5000.0,,0.4339622641509434
119,5.0,10000.0,,0.4339622641509434
120,10.0,0.0001,,0.6650943396226415
121,10.0,0.0005,,0.6650943396226415
122,10.0,0.001,,0.6627358490566038
123,10.0,0.005,,0.660377358490566
124,10.0,0.01,,0.660377358490566
125,10.0,0.05,,0.4339622641509434
126,10.0,1.0,,0.4339622641509434
127,10.0,5.0,,0.4339622641509434
128,10.0,10.0,,0.4339622641509434
129,10.0,50.0,,0.4339622641509434
130,10.0,100.0,,0.4339622641509434
131,10.0,500.0,,0.4339622641509434
132,10.0,1000.0,,0.4339622641509434
133,10.0,5000.0,,0.4339622641509434
134,10.0,10000.0,,0.4339622641509434
135,50.0,0.0001,,0.6745283018867925
136,50.0,0.0005,,0.6745283018867925
137,50.0,0.001,,0.6745283018867925
138,50.0,0.005,,0.6745283018867925
139,50.0,0.01,,0.6745283018867925
140,50.0,0.05,,0.4339622641509434
141,50.0,1.0,,0.4339622641509434
142,50.0,5.0,,0.4339622641509434
143,50.0,10.0,,0.4339622641509434
144,50.0,50.0,,0.4339622641509434
145,50.0,100.0,,0.4339622641509434
146,50.0,500.0,,0.4339622641509434
147,50.0,1000.0,,0.4339622641509434
148,50.0,5000.0,,0.4339622641509434
149,50.0,10000.0,,0.4339622641509434
150,100.0,0.0001,,0.6816037735849056
151,100.0,0.0005,,0.6816037735849056
152,100.0,0.001,,0.6816037735849056
153,100.0,0.005,,0.6816037735849056
154,100.0,0.01,,0.6816037735849056
155,100.0,0.05,,0.4339622641509434
156,100.0,1.0,,0.4339622641509434
157,100.0,5.0,,0.4339622641509434
158,100.0,10.0,,0.4339622641509434
159,100.0,50.0,,0.4339622641509434
160,100.0,100.0,,0.4339622641509434
161,100.0,500.0,,0.4339622641509434
162,100.0,1000.0,,0.4339622641509434
163,100.0,5000.0,,0.4339622641509434
164,100.0,10000.0,,0.4339622641509434
165,500.0,0.0001,,0.6580188679245284
166,500.0,0.0005,,0.6580188679245284
167,500.0,0.001,,0.6580188679245284
168,500.0,0.005,,0.6580188679245284
169,500.0,0.01,,0.660377358490566
170,500.0,0.05,,0.4339622641509434
171,500.0,1.0,,0.4339622641509434
172,500.0,5.0,,0.4339622641509434
173,500.0,10.0,,0.4339622641509434
174,500.0,50.0,,0.4339622641509434
175,500.0,100.0,,0.4339622641509434
176,500.0,500.0,,0.4339622641509434
177,500.0,1000.0,,0.4339622641509434
178,500.0,5000.0,,0.4339622641509434
179,500.0,10000.0,,0.4339622641509434
180,1000.0,0.0001,,0.6580188679245284
181,1000.0,0.0005,,0.6580188679245284
182,1000.0,0.001,,0.6580188679245284
183,1000.0,0.005,,0.6580188679245284
184,1000.0,0.01,,0.660377358490566
185,1000.0,0.05,,0.4339622641509434
186,1000.0,1.0,,0.4339622641509434
187,1000.0,5.0,,0.4339622641509434
188,1000.0,10.0,,0.4339622641509434
189,1000.0,50.0,,0.4339622641509434
190,1000.0,100.0,,0.4339622641509434
191,1000.0,500.0,,0.4339622641509434
192,1000.0,1000.0,,0.4339622641509434
193,1000.0,5000.0,,0.4339622641509434
194,1000.0,10000.0,,0.4339622641509434
195,5000.0,0.0001,,0.6580188679245284
196,5000.0,0.0005,,0.6580188679245284
197,5000.0,0.001,,0.6580188679245284
198,5000.0,0.005,,0.6580188679245284
199,5000.0,0.01,,0.660377358490566
200,5000.0,0.05,,0.4339622641509434
201,5000.0,1.0,,0.4339622641509434
202,5000.0,5.0,,0.4339622641509434
203,5000.0,10.0,,0.4339622641509434
204,5000.0,50.0,,0.4339622641509434
205,5000.0,100.0,,0.4339622641509434
206,5000.0,500.0,,0.4339622641509434
207,5000.0,1000.0,,0.4339622641509434
208,5000.0,5000.0,,0.4339622641509434
209,5000.0,10000.0,,0.4339622641509434
210,10000.0,0.0001,,0.6580188679245284
211,10000.0,0.0005,,0.6580188679245284
212,10000.0,0.001,,0.6580188679245284
213,10000.0,0.005,,0.6580188679245284
214,10000.0,0.01,,0.660377358490566
215,10000.0,0.05,,0.4339622641509434
216,10000.0,1.0,,0.4339622641509434
217,10000.0,5.0,,0.4339622641509434
218,10000.0,10.0,,0.4339622641509434
219,10000.0,50.0,,0.4339622641509434
220,10000.0,100.0,,0.4339622641509434
221,10000.0,500.0,,0.4339622641509434
222,10000.0,1000.0,,0.4339622641509434
223,10000.0,5000.0,,0.4339622641509434
224,10000.0,10000.0,,0.4339622641509434
