,alpha,beta,gamma,avg_score
0,0.0001,0.0001,,0.6367924528301887
1,0.0001,0.0005,,0.6226415094339622
2,0.0001,0.001,,0.6273584905660378
3,0.0001,0.005,,0.6202830188679245
4,0.0001,0.01,,0.6108490566037735
5,0.0001,0.05,,0.4339622641509434
6,0.0001,1.0,,0.4339622641509434
7,0.0001,5.0,,0.4339622641509434
8,0.0001,10.0,,0.4339622641509434
9,0.0001,50.0,,0.4339622641509434
10,0.0001,100.0,,0.4339622641509434
11,0.0001,500.0,,0.4339622641509434
12,0.0001,1000.0,,0.4339622641509434
13,0.0001,5000.0,,0.4339622641509434
14,0.0001,10000.0,,0.4339622641509434
15,0.0005,0.0001,,0.6367924528301887
16,0.0005,0.0005,,0.6226415094339622
17,0.0005,0.001,,0.6297169811320755
18,0.0005,0.005,,0.6155660377358491
19,0.0005,0.01,,0.6108490566037735
20,0.0005,0.05,,0.4339622641509434
21,0.0005,1.0,,0.4339622641509434
22,0.0005,5.0,,0.4339622641509434
23,0.0005,10.0,,0.4339622641509434
24,0.0005,50.0,,0.4339622641509434
25,0.0005,100.0,,0.4339622641509434
26,0.0005,500.0,,0.4339622641509434
27,0.0005,1000.0,,0.4339622641509434
28,0.0005,5000.0,,0.4339622641509434
29,0.0005,10000.0,,0.4339622641509434
30,0.001,0.0001,,0.6367924528301887
31,0.001,0.0005,,0.6226415094339622
32,0.001,0.001,,0.6344339622641509
33,0.001,0.005,,0.6202830188679245
34,0.001,0.01,,0.6108490566037735
35,0.001,0.05,,0.4339622641509434
36,0.001,1.0,,0.4339622641509434
37,0.001,5.0,,0.4339622641509434
38,0.001,10.0,,0.4339622641509434
39,0.001,50.0,,0.4339622641509434
40,0.001,100.0,,0.4339622641509434
41,0.001,500.0,,0.4339622641509434
42,0.001,1000.0,,0.4339622641509434
43,0.001,5000.0,,0.4339622641509434
44,0.001,10000.0,,0.4339622641509434
45,0.005,0.0001,,0.6580188679245284
46,0.005,0.0005,,0.6391509433962265
47,0.005,0.001,,0.6202830188679245
48,0.005,0.005,,0.6179245283018868
49,0.005,0.01,,0.6202830188679245
50,0.005,0.05,,0.4339622641509434
51,0.005,1.0,,0.4339622641509434
52,0.005,5.0,,0.4339622641509434
53,0.005,10.0,,0.4339622641509434
54,0.005,50.0,,0.4339622641509434
55,0.005,100.0,,0.4339622641509434
56,0.005,500.0,,0.4339622641509434
57,0.005,1000.0,,0.4339622641509434
58,0.005,5000.0,,0.4339622641509434
59,0.005,10000.0,,0.4339622641509434
60,0.01,0.0001,,0.6580188679245284
61,0.01,0.0005,,0.6367924528301887
62,0.01,0.001,,0.6344339622641509
63,0.01,0.005,,0.6226415094339622
64,0.01,0.01,,0.6179245283018868
65,0.01,0.05,,0.4339622641509434
